age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,income
23, Private,181706, Bachelors,12, Married-civ-spouse, Adm-clerical, Wife, Asian-Pac-Islander, Female,-10,1,44, South, <=50K
24, ?,192981, Some-college,9, Never-married, ?, Own-child, White, Female,9,0,34, United-States, <=50K
65, Private,302024, Bachelors,13, Married-spouse-absent, Prof-specialty, Unmarried, White, Female,14,0,32, United-States, <=50K
53, Private,158658, Some-college,10, Married-civ-spouse, Transport-moving, Husband, White, Male,8,0,45, United-States, >50K
46, Self-emp-not-inc,357356, 12th,8, Never-married, Craft-repair, Not-in-family, White, Male,-3,0,39, United-States, <=50K
38, Private,278920, Bachelors,12, Married-civ-spouse, Craft-repair, Husband, White, Male,7776,0,59, United-States, >50K
52, Federal-gov,221345, HS-grad,9, Married-civ-spouse, Adm-clerical, Husband, White, Male,19,-1,46, United-States, >50K
63, Self-emp-inc,119399, Bachelors,13, Married-civ-spouse, Other-service, Husband, White, Male,17,0,42, United-States, >50K
37, Private,253826, Assoc-acdm,11, Married-civ-spouse, Machine-op-inspct, Wife, Black, Female,30,0,39, United-States, <=50K
29, Private,181096, 7th-8th,4, Separated, Other-service, Unmarried, White, Female,8,0,51, United-States, <=50K
33, Private,347379, HS-grad,8, Separated, Craft-repair, Unmarried, White, Female,18,0,39, United-States, <=50K
29, Private,83534, Bachelors,13, Married-civ-spouse, Adm-clerical, Wife, Asian-Pac-Islander, Female,10,0,52, Philippines, <=50K
23, Private,177682, Bachelors,13, Never-married, Sales, Not-in-family, White, Male,-3,0,49, Canada, <=50K
30, Private,165650, Bachelors,13, Never-married, Exec-managerial, Not-in-family, White, Male,2,0,40, United-States, <=50K
74, Self-emp-inc,205944, Some-college,9, Divorced, Adm-clerical, Not-in-family, White, Female,5,0,39, United-States, <=50K
32, Private,435764, 10th,6, Never-married, Adm-clerical, Unmarried, Other, Male,14,0,24, Mexico, <=50K
39, Private,128795, Masters,14, Divorced, Sales, Not-in-family, White, Female,1,0,44, England, >50K
36, Private,191733, Bachelors,12, Married-civ-spouse, Prof-specialty, Husband, White, Male,12,1,8, United-States, >50K
58, Private,80895, Assoc-acdm,11, Married-civ-spouse, Machine-op-inspct, Wife, Black, Female,8,0,39, United-States, <=50K
39, Private,298889, 10th,6, Never-married, Machine-op-inspct, Not-in-family, White, Male,14,-1,39, United-States, <=50K
20, Private,164788, 12th,8, Never-married, Other-service, Other-relative, White, Male,17,0,48, United-States, <=50K
27, Private,343102, HS-grad,8, Never-married, Prof-specialty, Not-in-family, White, Male,53,0,49, United-States, <=50K
44, Private,157607, HS-grad,8, Divorced, Transport-moving, Not-in-family, White, Female,-2,0,45, United-States, <=50K
33, Private,173747, 9th,5, Married-civ-spouse, Craft-repair, Husband, White, Male,27,1,40, Mexico, <=50K
43, Private,125300, Some-college,10, Married-civ-spouse, Exec-managerial, Husband, Asian-Pac-Islander, Male,17,0,39, United-States, >50K
40, Private,274804, HS-grad,8, Widowed, Sales, Not-in-family, White, Male,8205,0,49, United-States, >50K
35, Private,175398, Some-college,10, Married-civ-spouse, Protective-serv, Husband, Asian-Pac-Islander, Male,3326,0,50, United-States, >50K
16, Private,114650, 11th,6, Never-married, Sales, Own-child, White, Female,-15,0,33, United-States, <=50K
67, Local-gov,153561, 12th,7, Married-civ-spouse, Other-service, Husband, White, Male,13,1,31, Ecuador, <=50K
41, Private,268769, Assoc-acdm,12, Married-civ-spouse, Machine-op-inspct, Wife, White, Female,-2,0,39, United-States, <=50K
29, Private,222908, Some-college,9, Married-AF-spouse, Tech-support, Own-child, White, Male,2,0,39, United-States, >50K
51, Private,144218, Bachelors,13, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,15,1939,44, United-States, >50K
36, Private,78273, Some-college,10, Married-civ-spouse, Adm-clerical, Wife, White, Female,11,0,30, United-States, >50K
68, ?,64742, Some-college,9, Married-spouse-absent, ?, Unmarried, White, Female,4,0,39, United-States, <=50K
51, Local-gov,57764, HS-grad,8, Never-married, Adm-clerical, Not-in-family, White, Male,4111,0,19, Jamaica, <=50K
39, Local-gov,142698, Masters,13, Married-civ-spouse, Exec-managerial, Husband, White, Female,30,0,40, United-States, <=50K
20, Private,330218, HS-grad,8, Never-married, Other-service, Other-relative, White, Female,6,0,23, United-States, <=50K
22, Private,151443, HS-grad,8, Never-married, Farming-fishing, Other-relative, White, Female,32,0,32, Guatemala, <=50K
43, Private,35883, Bachelors,12, Married-civ-spouse, Craft-repair, Husband, White, Male,3895,1843,34, United-States, >50K
72, Private,170314, HS-grad,8, Married-civ-spouse, Transport-moving, Husband, Other, Male,5,-1,39, Columbia, <=50K
35, Private,213354, Bachelors,12, Married-civ-spouse, Sales, Husband, White, Male,11,0,45, United-States, >50K
45, Self-emp-not-inc,128089, HS-grad,9, Married-civ-spouse, Other-service, Husband, White, Male,21,0,40, United-States, <=50K
29, State-gov,177852, Doctorate,12, Never-married, Adm-clerical, Not-in-family, Asian-Pac-Islander, Male,7,0,14, China, <=50K
18, ?,22465, 12th,6, Never-married, ?, Not-in-family, White, Male,11,0,7, United-States, <=50K
38, Without-pay,102940, Preschool,3, Married-civ-spouse, Craft-repair, Husband, White, Male,8,0,50, Mexico, <=50K
44, Private,68938, HS-grad,3, Married-civ-spouse, Transport-moving, Not-in-family, White, Male,10,0,39, Columbia, <=50K
40, Local-gov,112377, HS-grad,8, Divorced, Protective-serv, Not-in-family, White, Male,12,0,40, United-States, <=50K
56, Private,146180, 7th-8th,3, Divorced, Other-service, Unmarried, White, Female,-6,0,32, United-States, <=50K
34, Private,352382, HS-grad,8, Never-married, Craft-repair, Not-in-family, White, Male,63,0,44, United-States, >50K
22, Private,335028, Some-college,10, Never-married, Exec-managerial, Own-child, Black, Male,10,0,39, ?, <=50K
16, Private,229990, 11th,7, Never-married, Armed-Forces, Own-child, White, Male,8,0,40, United-States, <=50K
46, Private,113503, Bachelors,13, Married-civ-spouse, Prof-specialty, Husband, White, Male,35,0,39, United-States, >50K
60, Federal-gov,34564, HS-grad,8, Married-civ-spouse, Adm-clerical, Husband, White, Male,5,0,39, United-States, >50K
65, Private,307213, Bachelors,13, Married-civ-spouse, Sales, Husband, White, Male,19,0,46, United-States, >50K
24, ?,165100, Some-college,10, Divorced, ?, Not-in-family, White, Female,10,0,6, United-States, <=50K
21, Private,203375, Assoc-acdm,12, Never-married, Adm-clerical, Not-in-family, White, Female,2,0,33, United-States, <=50K
24, Private,169393, Assoc-acdm,12, Never-married, Adm-clerical, Unmarried, White, Female,4,0,50, United-States, <=50K
30, Private,440547, Assoc-voc,11, Married-civ-spouse, Machine-op-inspct, Husband, Black, Male,3961,0,40, United-States, <=50K
50, Self-emp-not-inc,252752, 5th-6th,3, Married-civ-spouse, Farming-fishing, Husband, White, Male,-7,0,39, Mexico, <=50K
34, Private,47532, HS-grad,8, Never-married, Machine-op-inspct, Own-child, Other, Male,0,-1,40, United-States, <=50K
45, Private,40097, 12th,8, Divorced, Tech-support, Not-in-family, White, Female,-7,0,46, United-States, <=50K
42, Private,440304, Assoc-voc,10, Married-civ-spouse, Exec-managerial, Husband, White, Male,-9,0,39, United-States, >50K
47, Private,248187, 11th,7, Divorced, Handlers-cleaners, Unmarried, White, Male,5,0,51, United-States, <=50K
51, Private,127033, Assoc-acdm,11, Married-civ-spouse, Machine-op-inspct, Wife, Black, Female,-3,0,49, United-States, <=50K
39, Local-gov,80367, Doctorate,16, Divorced, Prof-specialty, Not-in-family, White, Male,16044,0,50, United-States, >50K
31, Private,224694, Bachelors,13, Never-married, Prof-specialty, Not-in-family, White, Male,18,0,44, United-States, <=50K
19, Private,154717, HS-grad,9, Separated, Sales, Own-child, White, Male,25,0,40, United-States, <=50K
56, Private,182878, Bachelors,12, Married-civ-spouse, Sales, Husband, White, Male,5,0,39, United-States, >50K
54, Local-gov,26549, HS-grad,8, Divorced, Other-service, Not-in-family, White, Female,46,0,50, United-States, <=50K
57, Private,165681, Prof-school,4, Married-civ-spouse, Adm-clerical, Husband, Amer-Indian-Eskimo, Male,1,0,43, United-States, <=50K
31, Private,442717, 11th,7, Never-married, Handlers-cleaners, Not-in-family, White, Male,-11,0,39, United-States, <=50K
32, Private,238196, HS-grad,8, Never-married, Handlers-cleaners, Not-in-family, White, Male,-18,-1,33, United-States, <=50K
43, Private,222593, 10th,6, Divorced, Machine-op-inspct, Not-in-family, White, Male,14,0,46, United-States, <=50K
53, Local-gov,209018, HS-grad,8, Married-civ-spouse, Craft-repair, Husband, White, Male,22,0,39, United-States, >50K
22, State-gov,221476, Bachelors,13, Never-married, Sales, Not-in-family, White, Male,-5,0,40, United-States, <=50K
35, Local-gov,138269, HS-grad,8, Divorced, Adm-clerical, Not-in-family, White, Male,16,0,40, United-States, <=50K
34, Private,234713, 5th-6th,2, Separated, Other-service, Other-relative, White, Male,3,0,23, Mexico, <=50K
37, Private,343, 7th-8th,14, Married-civ-spouse, Protective-serv, Husband, Amer-Indian-Eskimo, Male,9,0,39, United-States, <=50K
31, Self-emp-not-inc,226146, HS-grad,8, Married-civ-spouse, Farming-fishing, Husband, White, Male,9,0,40, United-States, <=50K
54, Private,175926, HS-grad,9, Married-civ-spouse, Adm-clerical, Wife, White, Female,15,0,39, United-States, <=50K
63, Self-emp-not-inc,457527, 5th-6th,3, Married-civ-spouse, Farming-fishing, Husband, White, Male,17,0,40, United-States, <=50K
17, Private,224098, 11th,6, Never-married, Sales, Own-child, White, Female,18,0,44, United-States, <=50K
53, Self-emp-not-inc,237434, 5th-6th,3, Married-civ-spouse, Farming-fishing, Husband, White, Male,1,0,40, Mexico, <=50K
89, Private,158606, Some-college,10, Married-civ-spouse, Prof-specialty, Husband, Asian-Pac-Islander, Male,2,0,47, United-States, >50K
18, Private,104114, 12th,8, Never-married, Handlers-cleaners, Own-child, White, Male,33,0,58, United-States, <=50K
39, Private,27126, Prof-school,15, Married-civ-spouse, Prof-specialty, Husband, Amer-Indian-Eskimo, Male,-7,0,64, United-States, <=50K
34, Private,80846, Some-college,10, Married-civ-spouse, Tech-support, Husband, Asian-Pac-Islander, Male,26,0,40, United-States, >50K
65, Private,171258, Bachelors,12, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,38,0,39, United-States, >50K
28, Private,229515, Some-college,9, Married-AF-spouse, Adm-clerical, Own-child, Black, Male,13,0,48, United-States, >50K
17, Private,172148, 10th,6, Never-married, Sales, Not-in-family, Other, Female,11,-1,39, United-States, <=50K
27, State-gov,231724, HS-grad,8, Never-married, ?, Own-child, White, Male,1,0,32, United-States, <=50K
27, Private,272392, 9th,5, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,22,0,39, Mexico, <=50K
31, Private,139137, HS-grad,9, Married-civ-spouse, Adm-clerical, Wife, White, Female,27,0,39, United-States, <=50K
33, Private,428471, Bachelors,13, Married-civ-spouse, Sales, Husband, White, Male,32,0,39, United-States, >50K
31, Private,168313, Assoc-voc,10, Never-married, Tech-support, Not-in-family, White, Female,-5,0,56, United-States, <=50K
58, Self-emp-inc,166807, Bachelors,12, Married-civ-spouse, Exec-managerial, Husband, White, Male,10,0,13, United-States, >50K
46, State-gov,126716, Bachelors,12, Never-married, Exec-managerial, Unmarried, Asian-Pac-Islander, Male,2,0,58, Philippines, >50K
23, Private,20608, Some-college,9, Married-civ-spouse, Adm-clerical, Wife, Black, Female,36,0,39, United-States, >50K
59, Federal-gov,180240, HS-grad,9, Married-civ-spouse, Adm-clerical, Husband, White, Male,58,0,39, United-States, >50K
64, Local-gov,230805, Doctorate,16, Widowed, Prof-specialty, Not-in-family, Black, Female,44,0,39, United-States, <=50K
47, ?,161506, Some-college,10, Never-married, ?, Own-child, Other, Female,28,0,39, United-States, <=50K
18, Private,279564, 11th,7, Never-married, Armed-Forces, Not-in-family, White, Male,17,0,10, United-States, <=50K
43, Private,211111, 9th,5, Married-civ-spouse, Craft-repair, Husband, White, Male,13,-1,49, United-States, <=50K
42, Self-emp-not-inc,175683, HS-grad,8, Married-civ-spouse, Craft-repair, Husband, White, Male,1,0,39, United-States, <=50K
15, Private,124078, 11th,7, Never-married, Other-service, Own-child, White, Female,-12,0,39, United-States, <=50K
65, Private,167267, Bachelors,13, Married-civ-spouse, Prof-specialty, Husband, White, Male,12,0,59, United-States, >50K
53, Local-gov,41951, Bachelors,12, Divorced, Adm-clerical, Unmarried, White, Female,-24,0,34, United-States, <=50K
26, Private,211522, Assoc-acdm,12, Married-civ-spouse, Exec-managerial, Wife, White, Female,4,0,40, United-States, <=50K
29, Private,231558, Assoc-voc,10, Married-civ-spouse, Machine-op-inspct, Husband, Black, Male,21,0,40, United-States, <=50K
29, Private,28372, Bachelors,13, Never-married, Prof-specialty, Not-in-family, White, Male,-2,0,39, United-States, <=50K
25, State-gov,125839, Bachelors,13, Never-married, Prof-specialty, Own-child, Asian-Pac-Islander, Female,13,0,45, Philippines, <=50K
28, Private,93063, Bachelors,13, Married-civ-spouse, Prof-specialty, Wife, Asian-Pac-Islander, Female,18,0,40, United-States, <=50K
48, Local-gov,145690, HS-grad,8, Divorced, Other-service, Not-in-family, White, Female,-3,0,31, United-States, <=50K
39, Private,155888, Masters,14, Married-civ-spouse, Sales, Husband, White, Male,4,0,55, United-States, <=50K
38, Private,88983, Some-college,10, Married-civ-spouse, Exec-managerial, Husband, Asian-Pac-Islander, Male,7,1,61, United-States, >50K
20, ?,233429, 11th,7, Never-married, ?, Not-in-family, White, Male,12,0,39, United-States, <=50K
25, Private,42751, Bachelors,13, Never-married, Prof-specialty, Not-in-family, White, Male,12,0,40, United-States, <=50K
26, Private,131464, Bachelors,12, Never-married, Prof-specialty, Not-in-family, White, Female,21,0,39, Canada, <=50K
23, Private,224931, HS-grad,8, Never-married, Machine-op-inspct, Other-relative, Other, Male,27,-1,40, Columbia, <=50K
43, Private,184259, Some-college,9, Married-AF-spouse, Craft-repair, Other-relative, White, Female,-3,0,49, United-States, <=50K
27, Private,327825, Bachelors,13, Never-married, Prof-specialty, Own-child, Asian-Pac-Islander, Female,27,-1,14, India, <=50K
65, Private,149625, 7th-8th,4, Widowed, Prof-specialty, Not-in-family, White, Female,32,0,40, United-States, <=50K
38, Never-worked,285898, 7th-8th,4, Married-civ-spouse, ?, Husband, White, Male,31,0,39, United-States, <=50K
25, Private,264866, 9th,5, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,-18,-1,39, Mexico, <=50K
32, ?,216076, Some-college,10, Widowed, ?, Not-in-family, Amer-Indian-Eskimo, Female,10,0,19, United-States, <=50K
57, Private,186411, 5th-6th,5, Widowed, Priv-house-serv, Own-child, White, Female,9,0,39, United-States, <=50K
41, Federal-gov,159044, HS-grad,9, Married-civ-spouse, Exec-managerial, Husband, White, Male,9,0,40, United-States, >50K
33, Private,162542, 7th-8th,3, Never-married, Other-service, Unmarried, White, Female,6,0,65, United-States, <=50K
40, Private,126834, Assoc-acdm,12, Married-civ-spouse, Handlers-cleaners, Husband, Black, Male,18,0,49, United-States, <=50K
27, Private,238127, 12th,8, Never-married, Other-service, Other-relative, White, Male,16,0,57, United-States, <=50K
29, State-gov,159732, Masters,13, Never-married, Prof-specialty, Not-in-family, White, Male,23,0,50, United-States, <=50K
19, Private,186070, Some-college,9, Married-AF-spouse, Sales, Other-relative, White, Male,-15,0,32, United-States, <=50K
52, Private,187312, Bachelors,13, Divorced, Adm-clerical, Unmarried, White, Female,8,0,50, United-States, <=50K
27, Private,162605, Bachelors,13, Never-married, Other-service, Not-in-family, White, Female,0,0,40, Canada, <=50K
18, Private,218150, 11th,6, Never-married, Armed-Forces, Own-child, White, Male,11,0,58, United-States, <=50K
45, Private,252791, Some-college,10, Married-civ-spouse, Exec-managerial, Husband, Asian-Pac-Islander, Male,-4,1835,40, United-States, >50K
37, Local-gov,274527, Masters,15, Married-civ-spouse, Protective-serv, Husband, White, Male,12,0,35, United-States, <=50K
50, Private,155105, Some-college,10, Married-civ-spouse, Adm-clerical, Husband, White, Male,18,0,40, United-States, >50K
48, ?,111941, Some-college,10, Never-married, ?, Own-child, White, Female,14,0,40, United-States, <=50K
25, Private,163275, HS-grad,8, Separated, Other-service, Other-relative, White, Female,-7,0,33, Mexico, <=50K
20, Self-emp-not-inc,293590, 5th-6th,3, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,39, France, <=50K
33, Private,102339, Bachelors,12, Married-civ-spouse, Prof-specialty, Not-in-family, Asian-Pac-Islander, Female,17,0,59, Vietnam, <=50K
23, Private,226153, HS-grad,8, Never-married, Other-service, Other-relative, White, Female,7,0,40, United-States, <=50K
71, Private,211899, 12th,7, Married-civ-spouse, Sales, Husband, Black, Male,-2,0,31, Ecuador, <=50K
41, Private,197974, Assoc-voc,11, Married-civ-spouse, Exec-managerial, Husband, Black, Male,15,0,58, United-States, >50K
17, Local-gov,163886, 11th,6, Never-married, Adm-clerical, Own-child, White, Female,11,0,15, United-States, <=50K
23, Private,182012, Some-college,10, Married-AF-spouse, Exec-managerial, Own-child, White, Female,19,0,39, United-States, <=50K
28, Private,116861, Bachelors,12, Never-married, Sales, Not-in-family, Asian-Pac-Islander, Female,37,0,47, Thailand, <=50K
30, Private,207151, 10th,6, Separated, Other-service, Unmarried, Other, Male,6,0,7, United-States, <=50K
59, Private,75918, Some-college,10, Married-civ-spouse, Protective-serv, Husband, Asian-Pac-Islander, Male,3,0,40, United-States, >50K
66, Private,199747, HS-grad,8, Divorced, Other-service, Unmarried, Black, Female,36,0,32, United-States, <=50K
65, Self-emp-not-inc,155337, 10th,2, Married-civ-spouse, Farming-fishing, Husband, White, Male,-7,0,60, Mexico, <=50K
64, Self-emp-inc,147313, HS-grad,8, Married-spouse-absent, Exec-managerial, Not-in-family, Asian-Pac-Islander, Female,32,-1,39, China, <=50K
65, Private,215458, HS-grad,8, Married-civ-spouse, Other-service, Husband, Other, Male,8,0,40, Dominican-Republic, <=50K
37, Private,161739, Bachelors,13, Married-civ-spouse, Exec-managerial, Husband, Black, Male,21,0,40, United-States, >50K
26, Private,130996, Assoc-voc,13, Married-civ-spouse, Craft-repair, Husband, White, Male,10,0,43, United-States, >50K
52, Private,107568, Bachelors,13, Married-civ-spouse, Prof-specialty, Husband, Black, Male,26,0,39, United-States, >50K
32, Private,160187, 9th,4, Married-civ-spouse, Priv-house-serv, Husband, White, Male,17,0,40, Mexico, <=50K
38, Private,215749, Assoc-voc,9, Married-civ-spouse, Protective-serv, Husband, Black, Male,0,0,39, United-States, <=50K
34, Private,161592, HS-grad,9, Separated, Craft-repair, Unmarried, White, Male,27,1892,39, United-States, <=50K
35, Private,231744, HS-grad,8, Never-married, Craft-repair, Not-in-family, White, Male,15860,0,44, United-States, >50K
30, State-gov,108042, Bachelors,12, Married-civ-spouse, Prof-specialty, Other-relative, Asian-Pac-Islander, Male,3,0,32, Taiwan, <=50K
22, Private,315366, 11th,6, Never-married, Armed-Forces, Not-in-family, White, Male,16,0,59, United-States, <=50K
28, Private,181908, HS-grad,8, Never-married, Machine-op-inspct, Not-in-family, White, Male,-2,0,39, ?, <=50K
51, Private,94667, Bachelors,12, Married-civ-spouse, Craft-repair, Husband, White, Male,29,0,49, United-States, >50K
38, Private,282820, Bachelors,13, Married-civ-spouse, Prof-specialty, Husband, White, Male,24,0,49, United-States, >50K
51, Private,113495, 12th,8, Divorced, Other-service, Not-in-family, White, Male,-8,-1,33, United-States, <=50K
28, Private,128889, HS-grad,9, Married-civ-spouse, Adm-clerical, Wife, White, Female,10,0,40, United-States, <=50K
25, Federal-gov,29258, Bachelors,12, Married-civ-spouse, Prof-specialty, Own-child, Asian-Pac-Islander, Female,-3,0,39, Philippines, <=50K
38, Federal-gov,27097, HS-grad,9, Married-civ-spouse, Exec-managerial, Husband, White, Male,42,0,39, United-States, >50K
18, ?,255332, 11th,5, Never-married, ?, Own-child, White, Male,13,0,39, United-States, <=50K
41, State-gov,107119, Bachelors,13, Married-spouse-absent, Prof-specialty, Not-in-family, White, Male,23,0,44, United-States, <=50K
34, Local-gov,199761, HS-grad,8, Separated, Handlers-cleaners, Not-in-family, White, Male,23,0,9, United-States, <=50K
19, Self-emp-inc,241360, HS-grad,8, Widowed, Sales, Not-in-family, Black, Female,-5,0,32, Haiti, <=50K
48, ?,178144, Some-college,9, Never-married, Adm-clerical, Unmarried, White, Female,30,0,34, United-States, <=50K
34, Private,166812, Some-college,9, Married-AF-spouse, Sales, Own-child, White, Female,30,0,39, United-States, <=50K
35, Private,113732, Prof-school,4, Married-civ-spouse, Craft-repair, Husband, Amer-Indian-Eskimo, Male,-7,0,39, United-States, <=50K
50, Private,258726, Some-college,10, Married-civ-spouse, Exec-managerial, Wife, White, Female,20,0,49, United-States, >50K
39, Private,173564, Masters,14, Never-married, Prof-specialty, Not-in-family, White, Female,17,0,44, Cuba, >50K
51, Federal-gov,352717, HS-grad,9, Married-civ-spouse, Adm-clerical, Husband, White, Male,3499,0,39, United-States, >50K
29, Private,322772, HS-grad,8, Married-civ-spouse, Adm-clerical, Wife, White, Female,10,0,39, United-States, <=50K
53, Private,184005, Some-college,10, Divorced, Other-service, Unmarried, Asian-Pac-Islander, Female,10,0,33, Cambodia, <=50K
25, Private,215830, Some-college,9, Never-married, Sales, Not-in-family, White, Male,7,0,39, United-States, <=50K
26, Private,340087, 11th,7, Never-married, Armed-Forces, Other-relative, White, Male,26,0,19, United-States, <=50K
23, Private,199863, HS-grad,8, Never-married, Other-service, Own-child, White, Male,-37,0,19, United-States, <=50K
41, Private,192361, Assoc-acdm,13, Married-civ-spouse, Exec-managerial, Husband, White, Male,-14,0,49, United-States, <=50K
31, State-gov,317145, HS-grad,9, Divorced, Machine-op-inspct, Not-in-family, White, Male,23,-1,40, ?, <=50K
20, Private,291175, 11th,6, Never-married, Armed-Forces, Unmarried, White, Male,5,-1,40, United-States, <=50K
27, Private,227873, Bachelors,12, Married-civ-spouse, Prof-specialty, Wife, Asian-Pac-Islander, Female,8,0,50, Taiwan, <=50K
26, ?,553583, Some-college,9, Never-married, ?, Own-child, White, Female,10,0,10, United-States, <=50K
50, Self-emp-inc,240439, Assoc-voc,10, Married-civ-spouse, Exec-managerial, Husband, White, Male,26,0,49, United-States, >50K
28, Private,117954, Some-college,9, Married-civ-spouse, Exec-managerial, Wife, White, Female,1,0,39, United-States, >50K
33, Private,187868, Bachelors,12, Never-married, Exec-managerial, Not-in-family, White, Male,4,0,45, United-States, <=50K
25, Private,193571, HS-grad,8, Never-married, Machine-op-inspct, Own-child, White, Male,29,-1,58, United-States, <=50K
41, Private,123187, Bachelors,12, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,15384,0,44, United-States, >50K
33, Private,174781, Bachelors,12, Divorced, Prof-specialty, Not-in-family, White, Male,7,0,9, United-States, <=50K
31, Self-emp-not-inc,231766, HS-grad,9, Married-civ-spouse, Protective-serv, Husband, White, Male,0,0,40, United-States, <=50K
16, Private,95064, Some-college,10, Married-AF-spouse, Farming-fishing, Husband, White, Male,-5,0,57, United-States, <=50K
22, Private,171603, 12th,8, Never-married, Sales, Own-child, White, Male,1,0,39, United-States, <=50K
49, Private,68513, HS-grad,9, Married-spouse-absent, Handlers-cleaners, Not-in-family, White, Male,31,0,39, United-States, >50K
63, Federal-gov,45941, HS-grad,9, Married-civ-spouse, Tech-support, Husband, Black, Male,20,0,39, United-States, >50K
17, Private,160329, 11th,6, Never-married, Adm-clerical, Own-child, White, Male,6,0,39, United-States, <=50K
29, Private,110850, Bachelors,12, Married-civ-spouse, Sales, Not-in-family, Asian-Pac-Islander, Female,0,0,20, South, <=50K
42, Private,239767, HS-grad,9, Married-civ-spouse, Adm-clerical, Wife, White, Female,47,1,40, United-States, <=50K
26, Federal-gov,21262, Bachelors,13, Divorced, Exec-managerial, Not-in-family, White, Female,14,0,40, United-States, <=50K
45, Private,203683, Masters,13, Married-civ-spouse, Exec-managerial, Husband, White, Male,-16,-1,39, United-States, <=50K
31, Private,243962, Masters,13, Never-married, Prof-specialty, Not-in-family, White, Female,44,0,44, Cuba, >50K
46, Private,187702, Masters,14, Never-married, Prof-specialty, Not-in-family, White, Female,30,0,39, Cuba, >50K
51, Local-gov,213943, Doctorate,16, Divorced, Prof-specialty, Not-in-family, White, Male,15219,0,40, United-States, <=50K
63, Private,24355, 7th-8th,15, Married-civ-spouse, Transport-moving, Husband, Amer-Indian-Eskimo, Male,-20,0,39, United-States, <=50K
66, Private,103491, 12th,8, Separated, Other-service, Other-relative, White, Female,6,0,31, United-States, <=50K
30, Federal-gov,102989, Bachelors,13, Divorced, Adm-clerical, Unmarried, White, Female,21,0,39, United-States, <=50K
28, Local-gov,188469, Masters,14, Married-civ-spouse, Adm-clerical, Husband, Black, Male,14,0,39, United-States, >50K
